Tweet_Id,Tweet,Tweet_Değiştirilmiş,Tweet_Tarih,Kullanıcı_Id,Kullanıcı_Adı,Dil
1596922486649946112,"@ankara_kusu Uyan ' rüya görüyorsun kıçın  açıkta kalmış senin.
Türkiye Cumhuriyeti  ne yazık edeceksiniz.

Şu kılı… https://t.co/I8KXtPG9br",  Uyan   rüya görüyorsun kıçın  açıkta kalmış senin  Türkiye Cumhuriyeti  ne yazık edeceksiniz   Şu kılı   ,2022-11-27 17:42:44+00:00,1535668278617591810,Doğrucu Teyze,tr
1596921472291082240,@reis060634 @ErsoyGungor @ankara_kusu Bizimkiler dediğin şehitlik hamaseti yapmıyor birader. Ben şehit olmak istiyo… https://t.co/QWwPGrZVaw,      Bizimkiler dediğin şehitlik hamaseti yapmıyor birader  Ben şehit olmak istiyo   ,2022-11-27 17:38:43+00:00,1517883584,Strong But Pretty,tr
1596921115686731776,"@ankara_kusu Ben K Mala Basarım %80 kesin 🤣🤣🤣

Atalar boşa dememiş Umut Fakirin ekmeği ye Memed ye diye.",  Ben K Mala Basarım   kesin 🤣🤣🤣  Atalar boşa dememiş Umut Fakirin ekmeği ye Memed ye diye ,2022-11-27 17:37:17+00:00,1561107495019597827,Kyigit,tr
1596920041119043585,@Yakupsuimez51 @mehmetibis07 @isadivleli @ankara_kusu Harbi dolar ne alaka 120 sene ne alaka laf sokucaksan aklını… https://t.co/LoZigYRUco,        Harbi dolar ne alaka   sene ne alaka laf sokucaksan aklını   ,2022-11-27 17:33:01+00:00,1585390630322274314,lineon1,tr
1596919726751379456,@ankara_kusu Kılıçdaroğlu kazansın öpsün başına koysun öyle 58 falan lazım değil,  Kılıçdaroğlu kazansın öpsün başına koysun öyle   falan lazım değil,2022-11-27 17:31:46+00:00,1585390630322274314,lineon1,tr
1596915805479849984,"@ankara_kusu Amin🙏
Allah dileğinizi kabul etsin sizi cennetine alsın!",  Amin🙏 Allah dileğinizi kabul etsin sizi cennetine alsın ,2022-11-27 17:16:11+00:00,1428286160057651204,𝓚𝓪𝓻𝓪 𝓜𝓾𝓼𝓽𝓪𝓯𝓪,tr
1596914646480728066,@ankara_kusu @Yalcingg Kilicdaroglu’nun kazanacagina  inanmayanlar ogretilmis caresizler oylarini Kilicdarogluna ve… https://t.co/DWExPlwIww,    Kilicdaroglu nun kazanacagina  inanmayanlar ogretilmis caresizler oylarini Kilicdarogluna ve   ,2022-11-27 17:11:35+00:00,326645060,MrEcho,tr
1596914073601331201,@EnSuperLig Ankara'da Amkaragücü taraftarı neyse İzmir'de Göttepe taraftarı o. Bu iki takım taraftarlarına medeniye… https://t.co/VZ5n4jDAGb,  Ankara da Amkaragücü taraftarı neyse İzmir de Göttepe taraftarı o  Bu iki takım taraftarlarına medeniye   ,2022-11-27 17:09:19+00:00,982175748,gecelerin_yargıcı_38,tr
1596912369774444546,@ankara_kusu Tahminlerini bir kadeh sonra almışsın🤣🤣🤣,  Tahminlerini bir kadeh sonra almışsın🤣🤣🤣,2022-11-27 17:02:32+00:00,1215542876,ayhankaradag,tr
1596912220285587457,@ankara_kusu Amin inşallah yarın şehit olursun,  Amin inşallah yarın şehit olursun,2022-11-27 17:01:57+00:00,877102557927268353,Mehmet Yıldırım,tr
1596911952340844544,@AlbinoSerkanJK @ankara_kusu Okunmuş takım..:),    Okunmuş takım ,2022-11-27 17:00:53+00:00,1268939254522052608,Yüksel Harman,tr
